,Country Code,Country Name,Borrowed from a financial institution (% age 15+),Borrowed from a financial institution or used a credit card (% age 15+),"Borrowed from a financial institution or used a credit card, female (% age 15+)","Borrowed from a financial institution or used a credit card, in labor force (% age 15+)","Borrowed from a financial institution or used a credit card, income, poorest 40% (% age 15+)","Borrowed from a financial institution or used a credit card, income, richest 60% (% age 15+)","Borrowed from a financial institution or used a credit card, male (% age 15+)","Borrowed from a financial institution or used a credit card, older adults (% age 25+)","Borrowed from a financial institution or used a credit card, out of labor force (% age 15+)","Borrowed from a financial institution or used a credit card, primary education or less (% age 15+)","Borrowed from a financial institution or used a credit card, rural (% age 15+)","Borrowed from a financial institution or used a credit card, secondary education or more (% age 15+)","Borrowed from a financial institution or used a credit card, young adults (% age 15-24)","Borrowed from a financial institution, female (% age 15+)","Borrowed from a financial institution, in labor force (% age 15+)","Borrowed from a financial institution, income, poorest 40% (% age 15+)","Borrowed from a financial institution, income, richest 60% (% age 15+)","Borrowed from a financial institution, male (% age 15+)","Borrowed from a financial institution, older adults  (% age 25+)","Borrowed from a financial institution, out of labor force (% age 15+)","Borrowed from a financial institution, primary education or less (% age 15+)","Borrowed from a financial institution, rural (% age 15+)","Borrowed from a financial institution, secondary education or more (% age 15+)","Borrowed from a financial institution, young adults  (% age 15-24)",Made or received digital payments in the past year (% age 15+),"Made or received digital payments in the past year, female  (% age 15+)","Made or received digital payments in the past year, in labor force  (% age 15+)","Made or received digital payments in the past year, income, poorest 40%  (% age 15+)","Made or received digital payments in the past year, income, richest 60% (% age 15+)","Made or received digital payments in the past year, male  (% age 15+)","Made or received digital payments in the past year, older adults  (% age 25+)","Made or received digital payments in the past year, out of labor force  (% age 15+)","Made or received digital payments in the past year, primary education or less (% age 15+)","Made or received digital payments in the past year, rural  (% age 15+)","Made or received digital payments in the past year, secondary education or more (% age 15+)","Made or received digital payments in the past year, young adults  (% age 15-24)",Mobile money account (% age 15+),"Mobile money account, female (% age 15+)","Mobile money account, in labor force (% age 15+)","Mobile money account, income, poorest 40% (% age 15+)","Mobile money account, income, richest 60%  (% age 15+)","Mobile money account, male  (% age 15+)","Mobile money account, older adults (% age 25+)","Mobile money account, out of labor force (% age 15+)","Mobile money account, primary education or less (% age 15+)","Mobile money account, rural  (% age 15+)","Mobile money account, secondary education or less (% age 15+)","Mobile money account, young adults  (% age 15-24)",Saved at a financial institution (% age 15+),"Saved at a financial institution , out of labor force (% age 15+)","Saved at a financial institution, female (% age 15+)","Saved at a financial institution, in labor force (% age 15+)","Saved at a financial institution, income, poorest 40% (% age 15+)","Saved at a financial institution, income, richest 60%  (% age 15+)","Saved at a financial institution, male (% age 15+)","Saved at a financial institution, older adults (% age 25+)","Saved at a financial institution, primary education or less(% age 15+)","Saved at a financial institution, rural  (% age 15+)","Saved at a financial institution, secondary education or more (% age 15+)","Saved at a financial institution, young adults (% age 15-24)"
59,IRQ,Iraq,2.78417253494263,3.0542004108429,2.83377599716187,3.78528618812561,1.52293121814728,4.07452154159546,3.27435207366943,3.19537138938904,1.69010400772095,1.06359243392944,2.67114424705505,6.79238224029541,2.76937246322632,2.43561816215515,3.42738032341003,1.38227319717407,3.71829152107239,3.13229560852051,2.81363749504089,1.58404409885406,1.06359243392944,2.67114424705505,6.0188250541687,2.76937246322632,19.0585155487061,15.4479637145996,19.1949615478516,14.8158121109009,21.8855285644531,22.6645984649658,21.407958984375,18.8039264678955,16.4423217773438,18.4612445831299,22.5242385864258,13.6574821472168,4.21475553512573,1.42614436149597,5.89041948318481,2.96435236930847,5.04792881011963,6.99991607666016,4.53511238098145,1.08821821212769,3.61418843269348,3.12094759941101,4.47371816635132,3.51191282272339,1.62484776973724,1.07383990287781,0.641535818576813,1.92015993595123,1.53796899318695,1.68273723125458,2.60694289207459,1.87585890293121,1.70153439044952,0.968169510364532,1.52381467819214,1.03925406932831
62,JOR,Jordan,16.6439533233643,17.8032760620117,14.395040512085,26.721715927124,15.595251083374,19.2715015411377,20.762638092041,24.0479545593262,10.8816328048706,15.6419677734375,20.6862010955811,18.6416416168213,5.56249380111694,14.1647415161133,24.7002029418945,15.595251083374,17.3412895202637,18.7966499328613,22.845760345459,10.3914613723755,14.472861289978,19.9974842071533,17.4825839996338,4.48721218109131,32.5323028564453,20.2446994781494,44.2258758544922,23.5153160095215,38.5281600952148,43.2016105651855,39.3054046630859,23.4568691253662,28.4050617218018,36.2869720458984,34.1290817260742,19.2557201385498,1.06096839904785,0.145205438137054,1.48916900157928,0.0,1.76646018028259,1.85612368583679,0.982690572738647,0.728640019893646,0.0,0.821810662746429,1.45063900947571,1.21440815925598,10.1086893081665,5.85932731628418,6.83999347686768,15.5839328765869,4.14112424850464,14.0768260955811,12.9468898773193,12.322057723999,3.71619319915771,9.92631435394287,12.4671010971069,5.77005624771118
65,KEN,Kenya,16.7834911346436,19.2382392883301,13.8309774398804,21.721263885498,13.2166414260864,23.2323417663574,25.2785053253174,21.422664642334,8.52143287658691,9.09023475646973,19.1905689239502,26.3952083587646,14.4780349731445,12.286262512207,19.3319835662842,11.7499361038208,20.1222248077393,21.8071899414063,18.7897644042969,5.78412437438965,8.92975521087646,17.1683330535889,22.3224067687988,12.4115037918091,78.9627990722656,74.6848983764648,84.5685958862305,66.3073120117188,87.3571395874023,83.7415008544922,80.6369323730469,54.7680511474609,63.7468414306641,78.6837387084961,89.6940002441406,75.3146209716797,72.9316864013672,69.3801422119141,77.8357086181641,59.3646659851074,81.9306259155273,76.8989868164063,74.2975006103516,51.7657585144043,57.3869934082031,72.5854949951172,83.8947143554688,69.9553527832031,26.7844104766846,8.94663047790527,18.5047149658203,30.9173278808594,14.4144821166992,34.9893379211426,36.0333786010742,29.5622825622559,11.1129207611084,26.279899597168,37.8368721008301,20.7309970855713
66,KGZ,Kyrgyz Republic,9.40434741973877,10.2155132293701,10.1977691650391,11.1732597351074,7.33345079421997,12.1236896514893,10.2355289459229,13.1024627685547,9.13999080657959,4.0631422996521,10.6951961517334,11.6418790817261,3.57551503181458,9.11955261230469,10.4044055938721,7.04897356033325,10.963809967041,9.72557258605957,12.1198720932007,8.28131008148193,4.0631422996521,9.89687633514404,10.6426525115967,3.15862607955933,36.0611305236816,35.0366363525391,42.408016204834,29.8955917358398,40.143253326416,37.2166748046875,40.2281494140625,28.9337577819824,22.2258815765381,34.9594573974609,39.2686920166016,26.4769668579102,3.10687637329102,2.59771013259888,3.98694491386414,0.364530891180038,4.92254734039307,3.6811728477478,3.06178283691406,2.1185839176178,3.36519408226013,2.7315526008606,3.04698801040649,3.21059107780457,2.9877073764801,2.37918591499329,3.85678458213806,3.52959227561951,1.44998645782471,4.00581216812134,2.00746130943298,3.56519079208374,1.9308488368988,2.11760950088501,3.23272943496704,1.65949273109436
67,KHM,Cambodia,26.6510181427002,26.7343006134033,29.965576171875,28.561279296875,22.783935546875,29.3583545684814,22.8744659423828,31.6624641418457,22.3633689880371,27.1572265625,27.5170860290527,22.5521068572998,16.0237007141113,29.8125743865967,28.443187713623,22.6219482421875,29.3273544311523,22.8744659423828,31.5408611297607,22.3633689880371,27.1572265625,27.441614151001,22.3202934265137,16.0237007141113,15.5683908462524,15.1370372772217,18.1054992675781,10.7554798126221,18.7653923034668,16.0836524963379,16.7171096801758,9.4985179901123,13.3567762374878,13.8018980026245,39.4622650146484,13.0718259811401,5.65950870513916,5.34182691574097,5.94742059707642,4.73574829101563,6.27312135696411,6.03898763656616,5.48424911499023,4.97069787979126,5.04847478866577,4.68079280853271,9.72256469726563,6.04040861129761,5.33961772918701,3.08959054946899,4.84526920318604,6.28009271621704,2.37171363830566,7.31106376647949,5.9301290512085,6.03895235061646,5.04628562927246,4.63027620315552,10.1129703521729,3.81972193717957
72,LBR,Liberia,7.54611873626709,8.08966541290283,7.23728561401367,9.0686206817627,6.90728425979614,8.87683296203613,8.98603248596191,9.17244815826416,3.93999600410461,7.92898368835449,7.22948026657104,8.51883411407471,6.13034629821777,6.85475969314575,8.3968448638916,6.50864315032959,8.23681640625,8.27315616607666,8.60615921020508,3.93999600410461,7.4150333404541,6.63144493103027,7.90396690368652,5.62795305252075,27.6317768096924,21.8032207489014,28.6815967559814,20.8685722351074,32.1343765258789,33.7611274719238,26.6522979736328,23.1817264556885,18.7633686065674,25.8060607910156,47.4657707214355,29.4041690826416,20.8433933258057,18.340087890625,21.3942623138428,16.6720867156982,23.620433807373,23.4758834838867,19.4681243896484,18.5083160400391,15.2534646987915,20.4749431610107,33.2131462097168,23.3319664001465,10.8791160583496,3.03427362442017,8.49229717254639,12.7298059463501,6.50376892089844,13.7919988632202,13.3891105651855,12.4939661026001,7.98191070556641,9.2353515625,17.5151386260986,7.95701217651367
74,LKA,Sri Lanka,14.8440952301025,17.3748188018799,17.0388069152832,26.8732013702393,14.7661504745483,19.1064529418945,17.7728748321533,20.0231285095215,9.42327308654785,12.5996112823486,17.8165473937988,22.4964160919189,7.0652379989624,15.6571550369263,23.0300312042236,13.8006019592285,15.5367670059204,13.8809013366699,17.3963584899902,7.99126243591309,11.7948818206787,15.5629587173462,18.1325397491455,4.88597249984741,47.1597023010254,44.2021980285645,58.3280029296875,43.1291198730469,49.835205078125,50.663330078125,47.3671188354492,37.8101921081543,36.8767471313477,44.8208847045898,57.7542724609375,45.7121162414551,2.42076015472412,0.956934034824371,3.52561664581299,1.59672999382019,2.9677517414093,4.15488910675049,1.10555577278137,1.4958324432373,1.05561852455139,1.94865572452545,3.87267541885376,7.67120361328125,28.7880420684814,21.1711597442627,27.9968032836914,37.886661529541,17.9359741210938,35.9916496276855,29.7253913879395,27.6716079711914,19.1173324584961,28.6648273468018,39.129467010498,33.5606994628906
75,LSO,Lesotho,4.88713216781616,5.57385587692261,4.88582897186279,9.44693470001221,4.06364679336548,6.57902574539185,6.31054496765137,6.35380172729492,3.27878046035767,3.54826188087463,5.64721155166626,9.83396530151367,3.61165452003479,4.37454652786255,8.59695053100586,3.06581234931946,6.09937191009521,5.4359712600708,5.48972988128662,2.68879985809326,3.07919764518738,4.95144987106323,8.68939018249512,3.37110567092896,37.8146591186523,40.3513145446777,53.1407432556152,23.9752883911133,47.0259094238281,35.0985946655273,39.575813293457,28.7328605651855,27.8504009246826,37.194507598877,58.6860847473145,33.3839149475098,27.6418418884277,30.7903232574463,40.5115203857422,15.6391229629517,35.6306495666504,24.2706813812256,28.6773910522461,20.0156383514404,18.3629245758057,26.963005065918,47.0640602111816,25.0365886688232,8.80113220214844,5.34593868255615,8.17344379425049,14.6319808959961,3.8215503692627,12.11545753479,9.47321701049805,10.1512289047241,5.47982883453369,8.61345672607422,15.785982131958,5.40453386306763
79,MAR,Morocco,2.58415269851685,2.640061378479,1.58447825908661,4.29161357879639,1.94113063812256,3.10543060302734,3.78366112709045,3.441157579422,1.48954570293427,1.94686591625214,1.75816714763641,4.33794832229614,0.106190532445908,1.58447825908661,4.15544939041138,1.94113063812256,3.01229667663574,3.66718244552612,3.40114617347717,1.48954570293427,1.91141140460968,1.75816714763641,4.22880792617798,0.0,16.7148761749268,8.31656455993652,26.3636474609375,8.80843734741211,21.97922706604,25.8134613037109,18.3967895507813,9.9932861328125,10.9938859939575,10.5085802078247,31.2817401885986,11.3949794769287,0.639211475849152,0.252521187067032,0.997283756732941,0.300207376480103,0.864930927753448,1.05814504623413,0.407132863998413,0.389768749475479,0.10848243534565,0.238619700074196,1.79629778862,1.37327694892883,6.33061027526855,2.69209861755371,2.64159488677979,11.553653717041,2.4507474899292,8.91394233703613,10.3272247314453,7.27540922164917,4.24618721008301,5.0401816368103,11.7598943710327,3.34220743179321
81,MDG,Madagascar,3.57454347610474,3.80854344367981,3.41377711296082,3.89420795440674,2.3510525226593,4.77025938034058,4.25081253051758,4.17492151260376,3.22290730476379,2.78919649124146,2.88422012329102,8.85859775543213,2.99299955368042,3.15772366523743,3.66072583198547,2.3510525226593,4.3818564414978,4.04151964187622,3.83634781837463,2.9853675365448,2.5435471534729,2.71511101722717,8.67907810211182,2.99299955368042,15.0444030761719,13.8451080322266,15.8378496170044,11.316614151001,17.5041618347168,16.388011932373,15.1006488800049,9.62009239196777,11.0874366760254,12.2940626144409,34.6510696411133,14.7966785430908,12.0553026199341,11.9624643325806,12.8156547546387,8.87764835357666,14.1520576477051,12.1593112945557,11.7337694168091,6.85723733901978,8.77422523498535,9.91482257843018,28.3080615997314,12.7930774688721,3.9611804485321,5.86209297180176,3.3718957901001,3.6831226348877,2.19760179519653,5.1248664855957,4.62137413024902,3.9644558429718,2.60245370864868,2.64036297798157,10.6795978546143,3.95951461791992
82,MEX,Mexico,5.74897718429565,11.8275594711304,10.3066387176514,15.3090877532959,5.15164232254028,16.0943470001221,13.566517829895,11.99729347229,5.44789600372314,7.34967660903931,9.84063911437988,14.0718822479248,11.1613731384277,5.94428443908691,7.42913627624512,4.04987525939941,6.83492565155029,5.52567100524902,6.12929916381836,2.67019844055176,2.85000467300415,6.78699111938477,7.38570261001587,4.66470432281494,31.7405071258545,28.1519050598145,38.6970977783203,20.2485466003418,39.085376739502,35.8435668945313,32.3960304260254,18.9930267333984,19.6399822235107,23.6674213409424,38.3365440368652,29.71462059021,5.55257940292358,4.20881271362305,7.86327409744263,2.25235772132874,7.6618537902832,7.08898591995239,3.46599149703979,1.31838726997375,0.702720522880554,3.95509719848633,7.93664693832397,11.5758199691772,9.77230453491211,3.66865849494934,7.76244831085205,13.1032037734985,3.94855260848999,13.4944458007813,12.0702896118164,9.49228763580322,4.05921602249146,7.13021183013916,12.5442485809326,10.5987501144409
